Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Durchschnittliche Balance der Bodenkontaktzeit,Ø Trittfrequenz,Max. Trittfrequenz,Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Züge insgesamt,Ø Swolf,Ø Schlagrate,Wiederholungen insgesamt,Sätze insgesamt,Routen insgesamt,Kletterzeit,Pausenzeit insgesamt,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Radfahren,2022-11-24 19:46:47,false,"Würzburg Radfahren","4,40","152","00:17:49","124","148","1,5","0","0","14,8","37,8","18","25","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","25,0","0:00","Nein","17:49.02.9","1","0,0","00:13:40","00:17:49","92","107"
Radfahren,2022-11-23 09:57:32,false,"Würzburg Radfahren","4,24","182","00:29:20","111","141","0,9","0","0","8,7","59,5","35","10","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","25,0","0:00","Nein","29:20.11.8","1","0,0","00:20:04","00:29:20","165","192"
Krafttraining,2022-11-23 08:17:08,false,"Krafttraining A","0,00","479","01:22:26","116","154","1,9","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","325","27","--","--","--","0:00","22,0","0:00","Nein","01:22:25.99.6","1","0,0","00:36:31","01:22:26","--","--"
Radfahren,2022-11-23 07:48:19,false,"Würzburg Radfahren","5,06","170","00:17:32","132","163","2,1","0","0","17,3","33,2","35","27","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","21,0","0:00","Nein","00:25.94","2","0,0","00:15:26","00:17:32","187","201"
HIIT,2022-11-21 19:23:19,false,"HIIT","0,00","792","01:42:27","140","186","3,3","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","34","1","--","--","--","0:00","24,0","0:00","Nein","01:42:26.53.8","1","0,0","01:18:02","01:42:27","--","--"
Krafttraining,2022-11-18 17:20:25,false,"Krafttraining B","0,00","476","01:26:30","112","150","1,0","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","308","30","--","--","--","0:00","26,0","0:00","Nein","01:26:29.78.4","1","0,0","00:45:10","01:26:30","--","--"
Radfahren,2022-11-18 15:49:09,false,"Würzburg Radfahren","4,84","138","00:15:15","127","156","1,8","0","0","19,0","39,8","24","78","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","26,0","0:00","Nein","15:15.30.4","1","0,0","00:14:38","00:15:15","114","177"
Radfahren,2022-11-18 12:11:34,false,"Würzburg Radfahren","7,57","392","00:37:52","142","178","2,7","0","0","12,0","45,1","163","126","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","24,0","0:00","Nein","10:22.97.3","2","0,0","00:32:28","00:37:52","129","190"
Radfahren,2022-11-16 10:32:03,false,"Würzburg Radfahren","4,67","172","00:21:22","123","143","1,3","0","0","13,1","43,3","50","14","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","21:21.58.8","1","0,0","00:18:24","00:21:22","177","211"
Krafttraining,2022-11-16 08:49:14,false,"Krafttraining A","0,00","716","01:32:38","131","166","2,7","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","335","29","--","--","--","0:00","20,0","0:00","Nein","01:32:37.94.4","1","0,0","00:51:57","01:33:29","--","--"
Radfahren,2022-11-16 08:21:50,false,"Würzburg Radfahren","5,16","131","00:18:37","116","130","0,8","0","0","16,6","36,7","70","29","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","15,0","0:00","Nein","01:06.66.3","2","0,0","00:16:15","00:18:37","192","211"
HIIT,2022-11-14 19:26:17,false,"HIIT","0,00","831","01:43:09","146","192","3,7","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","8","1","--","--","--","0:00","23,0","0:00","Nein","01:43:09.24.6","1","0,0","01:43:09","01:43:09","--","--"
Gravel/Offroad-Radfahren,2022-11-13 16:00:24,false,"Würzburg Gravel/Offroad-Radfahren","15,51","587","00:56:39","150","182","3,4","0","0","16,4","47,3","348","328","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","01:18.51.3","4","0,0","00:56:26","00:57:34","194","333"
Krafttraining,2022-11-11 17:13:45,false,"Krafttraining B","0,00","504","01:24:57","116","155","1,7","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","407","31","--","--","--","0:00","24,0","0:00","Nein","01:24:56.98.4","1","0,0","00:34:20","01:25:53","--","--"
Radfahren,2022-11-10 16:08:00,false,"Würzburg Radfahren","4,60","108","00:13:31","121","141","1,0","0","0","20,4","43,0","96","97","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","13:31.44.7","1","0,0","00:13:19","00:13:31","200","259"
Radfahren,2022-11-10 15:13:45,false,"Würzburg Radfahren","4,31","165","00:18:45","125","157","1,9","0","0","13,8","41,1","118","50","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","18,0","0:00","Nein","18:44.76.4","1","0,0","00:16:42","00:18:45","146","216"
Radfahren,2022-11-09 10:05:56,false,"Würzburg Radfahren","4,34","135","00:19:14","115","138","0,9","0","0","13,5","24,6","118","12","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","0","--","--","--","--","0:00","19,0","0:00","Nein","19:14.11.4","1","0,0","00:15:34","00:19:14","177","203"
Krafttraining,2022-11-09 08:18:22,false,"Krafttraining A","0,00","467","01:05:03","125","156","2,1","0","0","--","--","--","--","0,00","0,0","0,0","0","--","0","0","0,0","0","0","0,0","0,0","--","0","0","309","25","--","--","--","0:00","21,0","0:00","Nein","01:05:02.91.6","1","0,0","00:30:36","01:05:03","--","--"
